# Berkeley Interpolated
#
# Year    CO2 (ppm)
1700.0416666667 277.2886574082
1700.125    277.287498374
1700.2083333333 277.2863396509
1700.2916666667 277.2851812391
1700.375    277.2840231388
1700.4583333333 277.2828653502
1700.5416666667 277.2817078734
1700.625    277.2805507087
1700.7083333333 277.2793938562
1700.7916666667 277.2782373161
1700.875    277.2770810886
1700.9583333333 277.2759251739
1701.0416666667 277.2747695723
1701.125    277.2736142837
1701.2083333333 277.2724593086
1701.2916666667 277.271304647
1701.375    277.2701502992
1701.4583333333 277.2689962652
1701.5416666667 277.2678425454
1701.625    277.2666891399
1701.7083333333 277.2655360489
1701.7916666667 277.2643832726
1701.875    277.2632308111
1701.9583333333 277.2620786647
1702.0416666667 277.2609268335
1702.125    277.2597753178
1702.2083333333 277.2586241177
1702.2916666667 277.2574732334
1702.375    277.2563226651
1702.4583333333 277.255172413
1702.5416666667 277.2540224772
1702.625    277.252872858
1702.7083333333 277.2517235556
1702.7916666667 277.2505745701
1702.875    277.2494259017
1702.9583333333 277.2482775507
1703.0416666667 277.2471295171
1703.125    277.2459818012
1703.2083333333 277.2448344032
1703.2916666667 277.2436873233
1703.375    277.2425405616
1703.4583333333 277.2413941184
1703.5416666667 277.2402479938
1703.625    277.239102188
1703.7083333333 277.2379567013
1703.7916666667 277.2368115337
1703.875    277.2356666855
1703.9583333333 277.2345221568
1704.0416666667 277.233377948
1704.125    277.2322340591
1704.2083333333 277.2310904903
1704.2916666667 277.2299472418
1704.375    277.2288043138
1704.4583333333 277.2276617066
1704.5416666667 277.2265194202
1704.625    277.2253774549
1704.7083333333 277.2242358109
1704.7916666667 277.2230944883
1704.875    277.2219534874
1704.9583333333 277.2208128083
1705.0416666667 277.2196724512
1705.125    277.2185324163
1705.2083333333 277.2173927038
1705.2916666667 277.2162533139
1705.375    277.2151142467
1705.4583333333 277.2139755025
1705.5416666667 277.2128370815
1705.625    277.2116989838
1705.7083333333 277.2105612096
1705.7916666667 277.2094237591
1705.875    277.2082866325
1705.9583333333 277.20714983
1706.0416666667 277.2060133518
1706.125    277.204877198
1706.2083333333 277.2037413689
1706.2916666667 277.2026058646
1706.375    277.2014706854
1706.4583333333 277.2003358313
1706.5416666667 277.1992013027
1706.625    277.1980670996
1706.7083333333 277.1969332223
1706.7916666667 277.195799671
1706.875    277.1946664459
1706.9583333333 277.1935335471
1707.0416666667 277.1924009748
1707.125    277.1912687292
1707.2083333333 277.1901368106
1707.2916666667 277.189005219
1707.375    277.1878739547
1707.4583333333 277.1867430179
1707.5416666667 277.1856124088
1707.625    277.1844821275
1707.7083333333 277.1833521742
1707.7916666667 277.1822225492
1707.875    277.1810932525
1707.9583333333 277.1799642845
1708.0416666667 277.1788356452
1708.125    277.177707335
1708.2083333333 277.1765793539
1708.2916666667 277.1754517021
1708.375    277.1743243799
1708.4583333333 277.1731973874
1708.5416666667 277.1720707248
1708.625    277.1709443924
1708.7083333333 277.1698183902
1708.7916666667 277.1686927185
1708.875    277.1675673775
1708.9583333333 277.1664423673
