# Two-year exponential half-life, and monthly interpolation
# Note: The exponential is a proxy for the environmental impact, the
# actual sulfate disspates more quickly than this timescale.
#
# Year    Volcanic
1700.0416666667 2.8091231318
1700.125    2.7291528491
1700.2083333333 2.6514591652
1700.2916666667 2.5759772697
1700.375    2.5026441972
1700.4583333333 2.4313987749
1700.5416666667 2.3621815715
1700.625    2.2949348475
1700.7083333333 2.2296025072
1700.7916666667 2.1661300519
1700.875    2.1044645341
1700.9583333333 2.0445545139
1701.0416666667 1.9863500157
1701.125    1.9298024865
1701.2083333333 1.8748647558
1701.2916666667 1.8214909956
1701.375    1.7696366827
1701.4583333333 1.7192585615
1701.5416666667 1.6703146076
1701.625    1.6227639931
1701.7083333333 1.5765670522
1701.7916666667 1.5316852486
1701.875    1.4880811428
1701.9583333333 1.4457183613
1702.0416666667 1.4045615659
1702.125    1.3645764246
1702.2083333333 1.3257295826
1702.2916666667 1.2879886348
1702.375    1.2513220986
1702.4583333333 1.2156993875
1702.5416666667 1.1810907858
1702.625    1.1474674238
1702.7083333333 1.1148012536
1702.7916666667 1.0830650259
1702.875    1.052232267
1702.9583333333 1.0222772569
1703.0416666667 0.9931750078
1703.125    0.9649012433
1703.2083333333 0.9374323779
1703.2916666667 0.9107454978
1703.375    0.8848183414
1703.4583333333 0.8596292808
1703.5416666667 0.8351573038
1703.625    0.8113819965
1703.7083333333 0.7882835261
1703.7916666667 0.7658426243
1703.875    0.7440405714
1703.9583333333 0.7228591806
1704.0416666667 0.7022807829
1704.125    0.6822882123
1704.2083333333 0.6628647913
1704.2916666667 0.6439943174
1704.375    0.6256610493
1704.4583333333 0.6078496937
1704.5416666667 0.5905453929
1704.625    0.5737337119
1704.7083333333 0.5574006268
1704.7916666667 0.541532513
1704.875    0.5261161335
1704.9583333333 0.5111386285
1705.0416666667 0.4965875039
1705.125    0.4824506216
1705.2083333333 0.4687161889
1705.2916666667 0.4553727489
1705.375    0.4424091707
1705.4583333333 0.4298146404
1705.5416666667 0.4175786519
1705.625    0.4056909983
1705.7083333333 0.3941417631
1705.7916666667 0.3829213121
1705.875    0.3720202857
1705.9583333333 0.3614295903
1706.0416666667 0.3511403915
1706.125    0.3411441061
1706.2083333333 0.3314323957
1706.2916666667 0.3219971587
1706.375    0.3128305246
1706.4583333333 0.3039248469
1706.5416666667 0.2952726964
1706.625    0.2868668559
1706.7083333333 0.2787003134
1706.7916666667 0.2707662565
1706.875    0.2630580668
1706.9583333333 0.2555693142
1707.0416666667 0.248293752
1707.125    0.2412253108
1707.2083333333 0.2343580945
1707.2916666667 0.2276863744
1707.375    0.2212045853
1707.4583333333 0.2149073202
1707.5416666667 0.208789326
1707.625    0.2028454991
1707.7083333333 0.1970708815
1707.7916666667 0.1914606561
1707.875    0.1860101429
1707.9583333333 0.1807147952
1708.0416666667 0.1755701957
1708.125    0.1705720531
1708.2083333333 0.1657161978
1708.2916666667 0.1609985794
1708.375    0.1564152623
1708.4583333333 0.1519624234
1708.5416666667 0.1476363482
1708.625    0.143433428
1708.7083333333 0.1393501567
1708.7916666667 0.1353831282
1708.875    0.1315290334
1708.9583333333 0.1277846571
1709.0416666667 0.124146876
1709.125    0.1206126554
1709.2083333333 0.1171790472
1709.2916666667 0.1138431872
1709.375    0.1106022927
1709.4583333333 0.1074536601
1709.5416666667 0.104394663
1709.625    0.1014227496
1709.7083333333 0.0985354408
1709.7916666667 0.095730328
1709.875    0.0930050714
1709.9583333333 0.0903573976
1710.0416666667 0.0877850979
1710.125    0.0852860265
1710.2083333333 0.0828580989
1710.2916666667 0.0804992897
1710.375    0.0782076312
1710.4583333333 0.0759812117
1710.5416666667 0.0738181741
1710.625    0.071716714
1710.7083333333 0.0696750784
1710.7916666667 0.0676915641
1710.875    0.0657645167
1710.9583333333 0.0638923286
1711.0416666667 0.062073438
1711.125    0.0603063277
1711.2083333333 0.0585895236
1711.2916666667 0.0569215936
1711.375    0.0553011463
1711.4583333333 0.05372683
1711.5416666667 3.8564137298
1711.625    3.7466291168
1711.7083333333 3.6399698586
1711.7916666667 3.5363469825
1711.875    3.4356740485
1711.9583333333 3.3378670775
1712.0416666667 3.2428444811
1712.125    3.1505269936
1712.2083333333 3.0608376058
1712.2916666667 2.9737015007
1712.375    2.8890459914
1712.4583333333 2.8068004601
1712.5416666667 2.7268962994
1712.625    2.6492668551
1712.7083333333 2.5738473704
1712.7916666667 2.500574932
1712.875    2.4293884176
1712.9583333333 2.3602284452
1713.0416666667 2.2930373229
1713.125    2.2277590015
1713.2083333333 2.1643390271
1713.2916666667 2.1027244964
1713.375    2.0428640117
1713.4583333333 1.9847076388
1713.5416666667 1.9282068649
1713.625    1.8733145584
1713.7083333333 1.8199849293
1713.7916666667 1.7681734912
1713.875    1.7178370242
1713.9583333333 1.6689335388
1714.0416666667 1.6214222406
1714.125    1.5752634968
1714.2083333333 1.5304188029
1714.2916666667 1.4868507503
1714.375    1.4445229957
1714.4583333333 1.40340023
1714.5416666667 1.3634481497
1714.625    1.3246334275
1714.7083333333 1.2869236852
1714.7916666667 1.250287466
1714.875    1.2146942088
1714.9583333333 1.1801142226
1715.0416666667 1.1465186615
1715.125    1.1138795007
1715.2083333333 1.0821695136
1715.2916666667 1.0513622482
1715.375    1.0214320058
1715.4583333333 0.9923538194
1715.5416666667 0.9641034324
1715.625    0.9366572792
1715.7083333333 0.9099924647
1715.7916666667 0.8840867456
1715.875    0.8589185121
1715.9583333333 0.8344667694
1716.0416666667 0.8107111203
1716.125    0.7876317484
1716.2083333333 0.7652094014
1716.2916666667 0.7434253752
1716.375    0.7222614978
1716.4583333333 0.701700115
1716.5416666667 0.6817240749
1716.625    0.6623167138
1716.7083333333 0.6434618426
1716.7916666667 0.625143733
1716.875    0.6073471044
1716.9583333333 0.5900571113
1717.0416666667 0.5732593307
1717.125    0.5569397504
1717.2083333333 0.5410847568
1717.2916666667 0.5256811241
1717.375    0.5107160029
1717.4583333333 0.4961769097
1717.5416666667 0.4820517162
1717.625    0.4683286396
1717.7083333333 0.4549962323
1717.7916666667 0.4420433728
1717.875    0.4294592561
1717.9583333333 0.4172333847
1718.0416666667 0.4053555601
1718.125    0.3938158742
1718.2083333333 0.3826047007
1718.2916666667 0.3717126876
1718.375    0.3611307489
1718.4583333333 0.3508500575
1718.5416666667 0.3408620374
1718.625    0.3311583569
1718.7083333333 0.3217309213
1718.7916666667 0.3125718665
1718.875    0.3036735522
1718.9583333333 0.2950285557
1719.0416666667 0.2866296654
1719.125    0.2784698752
1719.2083333333 0.2705423784
1719.2916666667 0.262840562
1719.375    0.2553580015
1719.4583333333 0.2480884548
1719.5416666667 31.2721675093
1719.625    30.3819096044
1719.7083333333 29.5169956139
1719.7916666667 28.6767040458
1719.875    27.8603339475
1719.9583333333 27.0672043212
1720.0416666667 26.2966535558
1720.125    25.5480388749
1720.2083333333 24.8207358008
1720.2916666667 24.1141376334
1720.375    23.4276549442
1720.4583333333 22.7607150846
1720.5416666667 22.1127617082
1720.625    21.4832543067
1720.7083333333 20.8716677588
1720.7916666667 20.2774918929
1720.875    19.7002310604
1720.9583333333 19.1394037233
1721.0416666667 18.5945420518
1721.125    18.0651915345
1721.2083333333 17.5509105988
1721.2916666667 17.051270243
1721.375    16.5658536784
1721.4583333333 16.094255981
1721.5416666667 15.6360837547
1721.625    15.1909548022
1721.7083333333 14.758497807
1721.7916666667 14.3383520229
1721.875    13.9301669738
1721.9583333333 13.5336021606
1722.0416666667 13.1483267779
1722.125    12.7740194374
1722.2083333333 12.4103679004
1722.2916666667 12.0570688167
1722.375    11.7138274721
1722.4583333333 11.3803575423
1722.5416666667 11.0563808541
1722.625    10.7416271533
1722.7083333333 10.4358338794
1722.7916666667 10.1387459464
1722.875    9.8501155302
1722.9583333333 9.5697018616
1723.0416666667 9.2972710259
1723.125    9.0325957672
1723.2083333333 8.7754552994
1723.2916666667 8.5256351215
1723.375    8.2829268392
1723.4583333333 8.0471279905
1723.5416666667 7.8180418773
1723.625    7.5954774011
1723.7083333333 7.3792489035
1723.7916666667 7.1691760115
1723.875    6.9650834869
1723.9583333333 6.7668010803
1724.0416666667 6.5741633889
1724.125    6.3870097187
1724.2083333333 6.2051839502
1724.2916666667 6.0285344084
1724.375    5.8569137361
1724.4583333333 5.6901787712
1724.5416666667 5.5281904271
1724.625    5.3708135767
1724.7083333333 5.2179169397
1724.7916666667 5.0693729732
1724.875    4.9250577651
1724.9583333333 4.7848509308
1725.0416666667 4.648635513
1725.125    4.5162978836
1725.2083333333 4.3877276497
1725.2916666667 4.2628175608
1725.375    4.1414634196
1725.4583333333 4.0235639953
1725.5416666667 3.9090209387
1725.625    3.7977387005
1725.7083333333 3.6896244517
1725.7916666667 3.5845880057
1725.875    3.4825417434
1725.9583333333 3.3834005402
1726.0416666667 3.2870816945
1726.125    3.1935048594
1726.2083333333 3.1025919751
1726.2916666667 3.0142672042
1726.375    2.928456868
1726.4583333333 2.8450893856
1726.5416666667 2.7640952135
1726.625    2.6854067883
1726.7083333333 2.6089584699
1726.7916666667 2.5346864866
1726.875    2.4625288826
1726.9583333333 2.3924254654
1727.0416666667 2.3243177565
1727.125    2.2581489418
1727.2083333333 2.1938638248
1727.2916666667 2.1314087804
1727.375    2.0707317098
1727.4583333333 2.0117819976
1727.5416666667 1.9545104693
1727.625    1.8988693503
1727.7083333333 1.8448122259
1727.7916666667 1.7922940029
1727.875    1.7412708717
1727.9583333333 1.6917002701
1728.0416666667 1.6435408472
1728.125    1.5967524297
1728.2083333333 1.5512959875
1728.2916666667 1.5071336021
1728.375    1.464228434
1728.4583333333 1.4225446928
1728.5416666667 1.3820476068
1728.625    1.3427033942
1728.7083333333 1.3044792349
1728.7916666667 1.2673432433
1728.875    1.2312644413
1728.9583333333 1.1962127327
1729.0416666667 1.1621588782
1729.125    1.1290744709
1729.2083333333 1.0969319124
1729.2916666667 1.0657043902
1729.375    1.0353658549
1729.4583333333 1.0058909988
1729.5416666667 12.8266813628
1729.625    12.461530643
1729.7083333333 12.1067750553
1729.7916666667 11.7621186706
1729.875    11.4272739841
1729.9583333333 11.1019616759
1730.0416666667 10.7859103776
1730.125    10.4788564463
1730.2083333333 10.1805437443
1730.2916666667 9.8907234259
1730.375    9.6091537294
1730.4583333333 9.3355997755
1730.5416666667 9.0698333718
1730.625    8.8116328216
1730.7083333333 8.5607827399
1730.7916666667 8.3170738731
1730.875    8.0803029247
1730.9583333333 7.8502723855
1731.0416666667 7.6267903693
1731.125    7.4096704522
1731.2083333333 7.1987315178
1731.2916666667 6.9937976053
1731.375    6.7946977635
1731.4583333333 6.6012659077
1731.5416666667 6.4133406814
1731.625    6.2307653215
1731.7083333333 6.0533875277
1731.7916666667 5.8810593353
1731.875    5.7136369921
1731.9583333333 5.5509808379
1732.0416666667 5.3929551888
1732.125    5.2394282231
1732.2083333333 5.0902718721
1732.2916666667 4.9453617129
1732.375    4.8045768647
1732.4583333333 4.6677998878
1732.5416666667 4.5349166859
1732.625    4.4058164108
1732.7083333333 4.28039137
1732.7916666667 4.1585369366
1732.875    4.0401514623
1732.9583333333 3.9251361927
1733.0416666667 3.8133951846
1733.125    3.7048352261
1733.2083333333 3.5993657589
1733.2916666667 3.4968988026
1733.375    3.3973488818
1733.4583333333 3.3006329539
1733.5416666667 3.2066703407
1733.625    3.1153826607
1733.7083333333 3.0266937638
1733.7916666667 2.9405296676
1733.875    2.856818496
1733.9583333333 2.775490419
1734.0416666667 2.6964775944
1734.125    2.6197141116
1734.2083333333 2.5451359361
1734.2916666667 2.4726808565
1734.375    2.4022884323
1734.4583333333 2.3338999439
1734.5416666667 2.2674583429
1734.625    2.2029082054
1734.7083333333 2.140195685
1734.7916666667 2.0792684683
1734.875    2.0200757312
1734.9583333333 1.9625680964
1735.0416666667 1.9066975923
1735.125    1.8524176131
1735.2083333333 1.7996828794
1735.2916666667 1.7484494013
1735.375    1.6986744409
1735.4583333333 1.6503164769
1735.5416666667 1.6033351704
1735.625    1.5576913304
1735.7083333333 1.5133468819
1735.7916666667 1.4702648338
1735.875    1.428409248
1735.9583333333 1.3877452095
1736.0416666667 1.3482387972
1736.125    1.3098570558
1736.2083333333 1.272567968
1736.2916666667 1.2363404282
1736.375    1.2011442162
1736.4583333333 1.1669499719
1736.5416666667 1.1337291715
1736.625    1.1014541027
1736.7083333333 1.0700978425
1736.7916666667 1.0396342341
1736.875    1.0100378656
1736.9583333333 0.9812840482
1737.0416666667 0.9533487962
1737.125    0.9262088065
1737.2083333333 0.8998414397
1737.2916666667 0.8742247007
1737.375    0.8493372204
1737.4583333333 0.8251582385
1737.5416666667 0.8016675852
1737.625    0.7788456652
1737.7083333333 0.756673441
1737.7916666667 0.7351324169
1737.875    0.714204624
1737.9583333333 0.6938726047
1738.0416666667 0.6741193986
1738.125    0.6549285279
1738.2083333333 0.636283984
1738.2916666667 0.6181702141
1738.375    0.6005721081
1738.4583333333 0.583474986
1738.5416666667 3.8634151536
1738.625    3.7534312236
1738.7083333333 3.6465783227
1738.7916666667 3.5427673164
1738.875    3.441911608
1738.9583333333 3.3439270658
1739.0416666667 3.2487319533
1739.125    3.1562468609
1739.2083333333 3.0663946395
1739.2916666667 2.9791003365
1739.375    2.8942911328
1739.4583333333 2.8118962825
1739.5416666667 2.7318470536
1739.625    2.654076671
1739.7083333333 2.5785202601
1739.7916666667 2.5051147936
1739.875    2.4337990382
1739.9583333333 2.364513504
1740.0416666667 2.2972003944
1740.125    2.2318035584
1740.2083333333 2.1682684434
1740.2916666667 2.1065420497
1740.375    2.0465728867
1740.4583333333 1.9883109293
1740.5416666667 1.9317075768
1740.625    1.8767156118
1740.7083333333 1.8232891613
1740.7916666667 1.7713836582
1740.875    1.720955804
1740.9583333333 1.6719635329
1741.0416666667 1.6243659766
1741.125    1.5781234304
1741.2083333333 1.5331973197
1741.2916666667 1.4895501682
1741.375    1.4471455664
1741.4583333333 1.4059481412
1741.5416666667 1.3659235268
1741.625    1.3270383355
1741.7083333333 1.2892601301
1741.7916666667 1.2525573968
1741.875    1.2168995191
1741.9583333333 1.182256752
1742.0416666667 1.1486001972
