# We use 12-month moving average values in the fit				
#				
# Year	log( CO2 / 277.3 )	Volcanic	Temperature (C) 	Uncertainty (C, 1 sigma)
1753.25	-0.0023796507	0.0237302807	8.5418081	0.8150401731
1753.3333333333	-0.0023820905	0.0230547257	8.6178389	0.8153485168
1753.4166666667	-0.0023844832	0.0223984024	8.4374771	0.8121792765
1753.5	-0.0023868278	0.0217607634	8.1019201	0.9064934336
1753.5833333333	-0.0023891231	0.0211412767	8.1585722	0.8793912649
1753.6666666667	-0.0023913679	0.0205394256	8.0286331	0.8565548156
1753.75	-0.0023935612	0.019954708	7.7760577	0.8447756977
1753.8333333333	-0.0023957017	0.0193866362	7.9026299	0.9285169164
1753.9166666667	-0.0023977884	0.0188347363	7.9884963	0.8881426273
1754	-0.0023998201	0.0182985479	8.0020781	0.9240568293
1754.0833333333	-0.0024017957	0.0177776238	7.9616032	0.9314613786
1754.1666666667	-0.002403714	0.0172715293	7.9614892	0.8935511024
1754.25	-0.0024055739	0.0167798424	7.9284043	0.8291456549
1754.3333333333	-0.0024073742	0.0163021529	7.9431477	0.8171398158
1754.4166666667	-0.0024091139	0.0158380622	8.0213776	0.7628773886
1754.5	-0.0024107917	0.0153871833	8.3312759	0.8458349164
1754.5833333333	-0.0024124066	0.0149491401	8.1640787	0.9052807402
1754.6666666667	-0.0024139574	0.0145235671	8.1054592	0.9494807089
1754.75	-0.002415443	0.0141101093	8.0956869	0.9664021137
1754.8333333333	-0.0024168622	0.0137084219	8.056159	0.8689099589
1754.9166666667	-0.0024182139	0.0133181697	8.0026236	0.9222779083
1755	-0.002419497	0.0129390273	8.0757189	0.9627712201
1755.0833333333	-0.0024207102	0.6666395278	8.3181343	0.8787435481
1755.1666666667	-0.0024218526	1.301730444	8.337203	0.8623501683
1755.25	-0.0024229229	1.9187415547	8.3320847	0.90236855
1755.3333333333	-0.00242392	2.5181875567	8.2367582	0.9823664442
1755.4166666667	-0.0024248427	3.1005684946	8.2178726	1.078810026
1755.5	-0.00242569	3.6663701778	8.0765505	1.0106249084
1755.5833333333	-0.0024264607	4.2160645853	8.4127169	1.0473334356
1755.6666666667	-0.0024271536	4.7501102601	8.8761091	1.1871496169
1755.75	-0.0024277676	5.2689526912	8.984581	1.137554343
1755.8333333333	-0.0024283017	5.7730246855	8.9030113	1.1682341691
1755.9166666667	-0.0024287545	6.2627467285	8.8179731	1.124748431
1756	-0.0024291251	6.7385273356	8.8004026	1.0821993083
1756.0833333333	-0.0024294122	6.5466945429	8.6204624	1.0382763609
1756.1666666667	-0.0024296147	6.3603228574	8.5309048	1.0573214974
1756.25	-0.0024297316	6.179256812	8.5950184	1.0339490541
1756.3333333333	-0.0024297616	6.0033453655	8.5692511	0.9561764552
1756.4166666667	-0.0024297036	5.8324417763	8.3871384	0.9113982669
